season,team,matches_played,pts_total,goals_for,goals_against,gd_total,xG_total,xGA_total,npxG_total,cards_total,shots_total,shots_on_target_total,pts_per_match,gd_per_match,shots_per_match,season_int
2010_2011,Arsenal,38,68,72.0,43.0,29.0,0.0,0.0,0.0,86.0,595.0,342.0,1.7894736842105263,0.7631578947368421,15.657894736842104,2010
2010_2011,Aston Villa,38,48,48.0,59.0,-11.0,0.0,0.0,0.0,77.0,436.0,241.0,1.263157894736842,-0.2894736842105263,11.473684210526315,2010
2010_2011,Birmingham,38,39,37.0,58.0,-21.0,0.0,0.0,0.0,66.0,327.0,155.0,1.0263157894736843,-0.5526315789473685,8.605263157894736,2010
2010_2011,Blackburn,38,43,46.0,59.0,-13.0,0.0,0.0,0.0,77.0,385.0,191.0,1.131578947368421,-0.34210526315789475,10.131578947368421,2010
2010_2011,Blackpool,38,39,55.0,78.0,-23.0,0.0,0.0,0.0,53.0,446.0,235.0,1.0263157894736843,-0.6052631578947368,11.736842105263158,2010
2010_2011,Bolton,38,46,52.0,56.0,-4.0,0.0,0.0,0.0,82.0,498.0,275.0,1.2105263157894737,-0.10526315789473684,13.105263157894736,2010
2010_2011,Chelsea,38,71,69.0,33.0,36.0,0.0,0.0,0.0,62.0,635.0,344.0,1.868421052631579,0.9473684210526315,16.710526315789473,2010
2010_2011,Everton,38,54,51.0,45.0,6.0,0.0,0.0,0.0,73.0,509.0,286.0,1.4210526315789473,0.15789473684210525,13.394736842105264,2010
2010_2011,Fulham,38,49,49.0,43.0,6.0,0.0,0.0,0.0,54.0,456.0,250.0,1.2894736842105263,0.15789473684210525,12.0,2010
2010_2011,Liverpool,38,58,59.0,44.0,15.0,0.0,0.0,0.0,69.0,475.0,268.0,1.5263157894736843,0.39473684210526316,12.5,2010
2010_2011,Manchester City,38,71,60.0,33.0,27.0,0.0,0.0,0.0,89.0,477.0,276.0,1.868421052631579,0.7105263157894737,12.552631578947368,2010
2010_2011,Manchester United,38,80,78.0,37.0,41.0,0.0,0.0,0.0,67.0,543.0,310.0,2.1052631578947367,1.0789473684210527,14.289473684210526,2010
2010_2011,Newcastle United,38,46,56.0,57.0,-1.0,0.0,0.0,0.0,81.0,434.0,252.0,1.2105263157894737,-0.02631578947368421,11.421052631578947,2010
2010_2011,Stoke City,38,46,46.0,48.0,-2.0,0.0,0.0,0.0,73.0,410.0,204.0,1.2105263157894737,-0.05263157894736842,10.789473684210526,2010
2010_2011,Sunderland,38,47,45.0,56.0,-11.0,0.0,0.0,0.0,74.0,450.0,230.0,1.236842105263158,-0.2894736842105263,11.842105263157896,2010
2010_2011,Tottenham Hotspur,38,62,55.0,46.0,9.0,0.0,0.0,0.0,57.0,560.0,321.0,1.631578947368421,0.23684210526315788,14.736842105263158,2010
2010_2011,West Bromwich Albion,38,47,56.0,71.0,-15.0,0.0,0.0,0.0,75.0,523.0,287.0,1.236842105263158,-0.39473684210526316,13.763157894736842,2010
2010_2011,West Ham United,38,33,43.0,70.0,-27.0,0.0,0.0,0.0,61.0,469.0,246.0,0.868421052631579,-0.7105263157894737,12.342105263157896,2010
2010_2011,Wigan,38,42,40.0,61.0,-21.0,0.0,0.0,0.0,80.0,450.0,253.0,1.105263157894737,-0.5526315789473685,11.842105263157896,2010
2010_2011,Wolverhampton Wanderers,38,40,46.0,66.0,-20.0,0.0,0.0,0.0,69.0,371.0,207.0,1.0526315789473684,-0.5263157894736842,9.763157894736842,2010
2011_2012,Arsenal,38,70,74.0,49.0,25.0,0.0,0.0,0.0,79.0,585.0,352.0,1.8421052631578947,0.6578947368421053,15.394736842105264,2011
2011_2012,Aston Villa,38,38,37.0,53.0,-16.0,0.0,0.0,0.0,76.0,404.0,203.0,1.0,-0.42105263157894735,10.631578947368421,2011
2011_2012,Blackburn,38,31,48.0,78.0,-30.0,0.0,0.0,0.0,83.0,415.0,238.0,0.8157894736842105,-0.7894736842105263,10.921052631578947,2011
2011_2012,Bolton,38,36,46.0,77.0,-31.0,0.0,0.0,0.0,66.0,447.0,275.0,0.9473684210526315,-0.8157894736842105,11.763157894736842,2011
2011_2012,Chelsea,38,64,65.0,46.0,19.0,0.0,0.0,0.0,87.0,616.0,334.0,1.6842105263157894,0.5,16.210526315789473,2011
2011_2012,Everton,38,56,50.0,40.0,10.0,0.0,0.0,0.0,64.0,474.0,253.0,1.4736842105263157,0.2631578947368421,12.473684210526315,2011
2011_2012,Fulham,38,52,48.0,51.0,-3.0,0.0,0.0,0.0,54.0,489.0,301.0,1.368421052631579,-0.07894736842105263,12.868421052631579,2011
2011_2012,Liverpool,38,52,47.0,40.0,7.0,0.0,0.0,0.0,71.0,612.0,330.0,1.368421052631579,0.18421052631578946,16.105263157894736,2011
2011_2012,Manchester City,38,89,93.0,29.0,64.0,0.0,0.0,0.0,71.0,666.0,399.0,2.3421052631578947,1.6842105263157894,17.526315789473685,2011
2011_2012,Manchester United,38,89,89.0,33.0,56.0,0.0,0.0,0.0,54.0,592.0,369.0,2.3421052631578947,1.4736842105263157,15.578947368421053,2011
2011_2012,Newcastle United,38,65,56.0,51.0,5.0,0.0,0.0,0.0,73.0,451.0,255.0,1.7105263157894737,0.13157894736842105,11.868421052631579,2011
2011_2012,Norwich City,38,47,52.0,66.0,-14.0,0.0,0.0,0.0,68.0,474.0,254.0,1.236842105263158,-0.3684210526315789,12.473684210526315,2011
2011_2012,Queens Park Rangers,38,37,43.0,66.0,-23.0,0.0,0.0,0.0,84.0,494.0,264.0,0.9736842105263158,-0.6052631578947368,13.0,2011
2011_2012,Stoke City,38,45,36.0,53.0,-17.0,0.0,0.0,0.0,67.0,340.0,151.0,1.1842105263157894,-0.4473684210526316,8.947368421052632,2011
2011_2012,Sunderland,38,45,45.0,46.0,-1.0,0.0,0.0,0.0,69.0,417.0,233.0,1.1842105263157894,-0.02631578947368421,10.973684210526315,2011
2011_2012,Swansea,38,47,44.0,51.0,-7.0,0.0,0.0,0.0,46.0,420.0,241.0,1.236842105263158,-0.18421052631578946,11.052631578947368,2011
2011_2012,Tottenham Hotspur,38,69,66.0,41.0,25.0,0.0,0.0,0.0,54.0,635.0,373.0,1.8157894736842106,0.6578947368421053,16.710526315789473,2011
2011_2012,West Bromwich Albion,38,47,45.0,52.0,-7.0,0.0,0.0,0.0,51.0,470.0,264.0,1.236842105263158,-0.18421052631578946,12.368421052631579,2011
